地區,屋齡,坪數,房,廳,衛,總價(萬),間數
大里區,27,87.04,3,1,1,340,5
大里區,27,120.2,3,2,2,470,7
大里區,26,107.33,3,2,2,420,7
大里區,27,114.96,3,2,2,450,7
大里區,25,116.91,3,2,2,458,7
大里區,29,195.76,4,2,2,768,8
大里區,27,85.37,3,2,2,335,7
大里區,27,120.76,3,2,2,475,7
大里區,29,139.73,4,2,2,550,8
大里區,36,98.98,3,2,1,390,6
大里區,40,63.43,5,2,2,250,9
大里區,30,86.03,2,2,1,340,5
大里區,26,108.79,3,1,2,430,6
大里區,28,98.54,3,2,2,390,7
大里區,25,119.77,3,2,2,475,7
大里區,24,132.83,3,2,2,527,7
大里區,41,73.08,3,1,1,290,5
大里區,26,125.93,3,2,2,500,7
大里區,27,125.67,3,2,2,500,7
大里區,25,133.19,3,2,2,530,7
大里區,0,78.33,4,2,2,312,8
大里區,27,168.67,4,2,2,672,8
大里區,29,145.56,4,2,2,580,8
大里區,26,157.76,4,2,2,630,8
大里區,27,132.54,3,2,2,530,7
大里區,27,94.78,2,1,1,380,4
大里區,27,124.62,3,1,2,500,6
大里區,24,29.9,1,1,1,120,3
大里區,43,74.72,2,2,1,300,5
大里區,26,123.18,3,2,2,495,7
大里區,30,135.7,3,1,2,548,6
大里區,29,103.94,2,2,2,420,6
大里區,28,84.04,2,2,2,340,6
大里區,27,141.33,3,2,2,572,7
大里區,5,155.53,3,2,2,630,7
大里區,25,133.19,3,2,2,540,7
大里區,41,86.22,3,2,1,350,6
大里區,29,226.49,4,2,2,920,8
大里區,28,134.43,2,2,2,550,6
大里區,25,88.46,2,1,1,362,4
大里區,28,96.58,3,2,2,396,7
大里區,22,121.94,3,2,2,500,7
大里區,26,109.61,3,2,2,450,7
大里區,38,85.2,3,2,1,350,6
大里區,28,91.92,3,2,2,378,7
大里區,5,155.53,3,2,2,640,7
大里區,25,116.51,3,2,2,480,7
大里區,41,92.23,3,2,2,380,7
大里區,41,73.98,3,2,2,305,7
大里區,28,113.98,3,2,2,470,7
大里區,26,135.78,3,2,2,560,7
大里區,27,108.99,3,2,2,450,7
大里區,30,150.15,3,2,2,620,7
大里區,26,121.08,3,2,2,500,7
大里區,37,93.2,3,2,2,385,7
大里區,28,145.14,4,2,2,600,8
大里區,28,90.71,3,1,2,375,6
大里區,27,125.63,4,2,4,520,10
大里區,40,105.06,3,2,2,435,7
大里區,30,201.49,2,2,1,835,5
大里區,27,95.97,2,2,1,398,5
大里區,26,60.27,2,1,1,250,4
大里區,20,129.97,3,2,2,540,7
