區域,屋齡,建坪,間數,車位,總價(萬),亂數排列
北屯區,0,126.21,5,有,690,0.341345686
南屯區,0,89.13,3,有,728,0.888570984
烏日區,41,102.94,7,無,360,0.460214693
北屯區,0,153.23,7,有,1018,0.875937264
豐原區,49,90.93,7,無,220.8,0.860473365
太平區,0,159.47,7,有,852,0.549222338
北屯區,25,118.87,7,有,595,0.581395048
北屯區,0,143.87,6,有,808,0.057837346
大肚區,37,74.71,6,無,320,0.307135345
沙鹿區,0,115.57,4,有,508,0.378255672
西屯區,29,197.46,7,有,1058,0.625985286
豐原區,0,149.57,7,有,1001,0.01998796
北屯區,0,185.75,7,有,1063,0.615405247
大里區,5,155.81,7,有,1068,0.522912491
南區,31,83.15,5,無,420,0.430679472
西屯區,5,135.42,6,有,901,0.912542369
北屯區,26,104.19,4,有,510,0.614737271
西屯區,0,96.45,3,有,799,0.068532104
沙鹿區,0,132.55,7,有,588,0.689595627
西屯區,22,220.31,7,有,1500,0.544904548
北屯區,0,151.46,7,有,1008,0.835677291
北屯區,0,160.74,7,有,1364,0.352630355
北屯區,26,144.57,7,有,688,0.953361854
清水區,0,112.44,5,有,538,0.735902046
大雅區,27,120.52,6,無,470,0.090420397
梧棲區,0,196.55,10,無,1200,0.357783644
東區,29,138.09,6,有,660,0.53221606
神岡區,26,215.37,11,無,1030,0.244953082
大甲區,28,77.11,4,無,263,0.480458476
大里區,0,89.24,4,有,578,0.014554748
西屯區,9,482.79,9,有,3600,0.802405173
北屯區,0,149.89,7,有,1038,0.590576869
西屯區,4,208.06,7,有,1840,0.54106435
大里區,0,146.63,7,有,810,0.843188309
西屯區,13,91.12,3,有,690,0.412206819
太平區,27,122.94,7,有,540,0.964674223
南屯區,30,26.61,3,無,145,0.264297187
北屯區,4,193.75,8,有,1060,0.587031637
烏日區,25,144.67,8,有,730,0.6272889
北區,28,80.8,5,無,386,0.813681362
大里區,0,137.1,5,有,748,0.892189234
中區,0,81.68,6,無,638,0.182357276
南區,25,126.32,7,有,650,0.448871451
太平區,0,174.27,7,有,1199,0.762443697
西屯區,0,120.74,5,有,948,0.805765141
北屯區,30,332.3,11,有,1550,0.698388617
大肚區,0,155.63,10,無,852,0.541064014
豐原區,0,160.32,7,有,763,0.003298459
北屯區,0,183.73,7,有,1346,0.698254615
太平區,4,163.64,7,有,1172,0.63458076
大里區,39,105.85,7,無,330,0.014977282
北屯區,27,90.71,6,無,445,0.467183441
豐原區,25,94.56,6,無,480,0.293422863
南屯區,6,281.28,7,有,2308,0.577258125
烏日區,24,129.08,6,無,520,0.321073435
梧棲區,27,392.9,10,無,1230,0.407989845
豐原區,0,207.1,12,無,1350,0.294609265
西屯區,37,71.77,6,無,305,0.970319789
太平區,44,102.16,9,無,760,0.90180753
南屯區,25,36.14,3,無,230,0.751111949
清水區,0,133.31,8,無,625,0.074894361
梧棲區,0,193.34,10,無,850,0.137649632
西屯區,27,25.81,3,無,118,0.065003065
北屯區,3,178.48,7,有,1460,0.042647386
龍井區,28,362.33,10,有,1800,0.683717276
西屯區,25,113.42,7,有,540,0.025867089
大甲區,0,87.55,6,無,416,0.433055478
太平區,29,133.47,7,有,465,0.860306127
西屯區,0,156.82,7,有,1240,0.255357302
梧棲區,27,125.86,7,無,420,0.407695597
沙鹿區,8,155.28,10,無,958,0.400689724
大里區,45,87.9,8,無,580,0.697605335
太平區,0,171.34,12,無,1680,0.804982376
西屯區,0,193.71,7,有,1490,0.181306223
南區,5,163.37,7,有,1270,0.165580419
北屯區,2,185.55,7,有,1150,0.887694261
后里區,25,166.53,9,無,500,0.67398137
西屯區,0,227.72,8,有,1785,0.290832978
北區,25,106.96,7,有,475,0.415729153
北區,42,64.58,7,無,123.332,0.336083808
北屯區,0,87.18,5,有,486,0.262723307
西屯區,13,91.86,5,無,790,0.474923297
北屯區,0,164.78,7,有,1600,0.648984426
北屯區,1,149.94,7,有,1210,0.190302287
東區,25,177.72,11,無,1180,0.887854016
大里區,28,234.62,12,有,640,0.509775089
南屯區,0,141.58,6,有,859,0.94979785
北屯區,0,168.14,6,有,1604,0.774405966
北區,19,181.87,8,無,790,0.269928746
太平區,6,164.1,8,有,1040,0.612860432
梧棲區,23,150.47,6,無,425,0.741596914
大里區,40,76.29,6,無,348,0.967706393
南屯區,6,204.8,7,有,1150,0.952935182
大甲區,25,192.61,5,無,490,0.240389703
北屯區,0,172.76,7,有,1060,0.04280363
西屯區,0,123.43,5,有,992,0.743564357
沙鹿區,22,64.97,5,無,412,0.546548366
太平區,12,14.53,3,無,105,0.970805992
北屯區,0,167.86,7,有,1151,0.91885629
北屯區,37,124.12,8,無,1245,0.732101859
北屯區,0,159.46,7,有,992,0.511273119
大肚區,1,178.83,10,無,853,0.150602274
大里區,5,200.98,7,有,850,0.439645495
北屯區,0,133.52,6,有,660,0.601399896
西屯區,0,132.31,5,有,1018,0.186377765
北屯區,5,222.65,7,有,1411,0.168507225
南屯區,2,259.18,7,有,2395,0.350847128
